Date,Open,High,Low,Close,Adj Close,Volume
2022-05-11,398.070007,404.040009,391.959991,392.750000,389.460876,142361000
2022-05-12,389.369995,395.799988,385.149994,392.339996,389.054321,125090800
2022-05-13,396.709991,403.179993,395.609985,401.720001,398.355774,104174400
2022-05-16,399.980011,403.970001,397.600006,400.089996,396.739441,78622400
2022-05-17,406.529999,408.570007,402.579987,408.320007,404.900513,83029700
2022-05-18,403.500000,403.799988,390.549988,391.859985,388.578308,117674500
2022-05-19,388.619995,394.140015,387.109985,389.459991,386.198456,98510700
2022-05-20,393.250000,397.029999,380.540009,389.630005,386.367035,131432200
2022-05-23,392.829987,397.730011,390.380005,396.920013,393.595978,76414900
2022-05-24,392.559998,395.149994,386.959991,393.890015,390.591339,91448800
2022-05-25,392.309998,399.450012,391.890015,397.369995,394.042206,91472900
2022-05-26,398.670013,407.040009,398.450012,405.309998,401.915710,82168300
2022-05-27,407.910004,415.380005,407.700012,415.260010,411.782379,84768700
2022-05-31,413.549988,416.459991,410.029999,412.929993,409.471893,95937000
2022-06-01,415.170013,416.239990,406.929993,409.589996,406.159882,86585800
2022-06-02,409.420013,417.440002,407.040009,417.390015,413.894562,79609600
2022-06-03,412.399994,414.040009,409.510010,410.540009,407.101929,71874300
2022-06-06,414.779999,416.609985,410.549988,411.790009,408.341461,57508900
2022-06-07,408.100006,416.220001,407.609985,415.739990,412.258362,59272400
2022-06-08,413.929993,415.820007,410.380005,411.220001,407.776215,64350000
2022-06-09,409.339996,411.739990,401.440002,401.440002,398.078125,86289800
2022-06-10,394.880005,395.779999,389.750000,389.799988,386.535583,132893900
2022-06-13,379.850006,381.809998,373.299988,375.000000,371.859558,170004900
2022-06-14,376.850006,377.940002,370.589996,373.869995,370.739014,104011800
2022-06-15,377.359985,383.899994,372.119995,379.200012,376.024384,125666800
2022-06-16,370.510010,370.940002,364.079987,366.649994,363.579468,134473300
2022-06-17,365.510010,369.380005,362.170013,365.859985,364.363251,111113900
2022-06-21,371.890015,376.529999,371.809998,375.070007,373.535583,76811900
2022-06-22,370.619995,378.720001,370.179993,374.390015,372.858368,90059400
2022-06-23,376.640015,378.829987,372.890015,378.059998,376.513336,79292100
2022-06-24,381.399994,390.089996,381.369995,390.079987,388.484161,98050300
2022-06-27,391.049988,391.359985,387.440002,388.589996,387.000275,66009600
2022-06-28,390.230011,393.160004,380.529999,380.649994,379.092743,86548900
2022-06-29,381.230011,382.269989,378.420013,380.339996,378.784027,65676000
2022-06-30,376.239990,380.660004,372.559998,377.250000,375.706665,112508300
2022-07-01,376.559998,381.700012,373.799988,381.239990,379.680328,74839700
2022-07-05,375.880005,381.980011,372.899994,381.959991,380.397369,81438000
2022-07-06,382.109985,385.869995,379.600006,383.250000,381.682129,70426200
2022-07-07,385.119995,389.829987,383.269989,388.989990,387.398621,64525900
2022-07-08,387.269989,390.640015,385.660004,388.670013,387.079956,72397800
2022-07-11,385.850006,386.869995,383.500000,384.230011,382.658112,58366900
2022-07-12,383.649994,386.160004,378.989990,380.829987,379.272003,62219200
2022-07-13,375.100006,381.920013,374.660004,378.829987,377.280182,84224600
2022-07-14,373.609985,379.049988,371.040009,377.910004,376.363953,89704800
2022-07-15,382.549988,385.250000,380.540009,385.130005,383.554443,79060400
2022-07-18,388.380005,389.089996,380.660004,381.950012,380.387451,63203600
2022-07-19,386.079987,392.869995,385.390015,392.269989,390.665192,78506000
2022-07-20,392.470001,396.260010,391.029999,394.769989,393.154968,71843800
2022-07-21,394.160004,398.839996,391.630005,398.790009,397.158539,64903900
2022-07-22,398.920013,400.179993,392.750000,395.089996,393.473663,72197300
2022-07-25,395.750000,396.470001,393.209991,395.570007,393.951721,53631500
2022-07-26,393.839996,394.059998,389.950012,390.890015,389.290863,52946400
2022-07-27,394.359985,402.880005,394.049988,401.040009,399.399353,82342100
2022-07-28,401.890015,406.799988,398.149994,406.070007,404.408752,73966600
2022-07-29,407.579987,413.029999,406.769989,411.989990,410.304535,87003700
2022-08-01,409.149994,413.410004,408.399994,410.769989,409.089508,69997500
2022-08-02,409.119995,413.000000,406.820007,408.059998,406.390625,63435400
2022-08-03,410.299988,415.679993,410.000000,414.450012,412.754486,67820600
2022-08-04,414.369995,415.089996,412.440002,414.170013,412.475647,45656600
2022-08-05,409.660004,414.149994,409.600006,413.470001,411.778473,56814900
2022-08-08,415.250000,417.619995,411.829987,412.989990,411.300446,53886100
2022-08-09,412.220001,412.750000,410.220001,411.350006,409.667175,44931800
2022-08-10,418.779999,420.140015,416.720001,419.989990,418.271790,68665700
2022-08-11,422.989990,424.950012,419.209991,419.989990,418.271790,59489700
2022-08-12,422.029999,427.209991,421.029999,427.100006,425.352722,61694500
2022-08-15,424.769989,429.410004,424.709991,428.859985,427.105499,54048300
2022-08-16,427.730011,431.730011,426.880005,429.700012,427.942108,59289000
2022-08-17,425.910004,429.500000,424.540009,426.649994,424.904572,63563400
2022-08-18,426.859985,428.609985,425.500000,427.890015,426.139496,49023200
2022-08-19,424.980011,425.260010,421.220001,422.140015,420.413025,68016900
2022-08-22,417.049988,417.230011,412.399994,413.350006,411.658966,77695600
2022-08-23,412.899994,415.420013,411.769989,412.350006,410.663086,49105200
2022-08-24,412.109985,415.109985,411.390015,413.670013,411.977692,49177800
2022-08-25,415.239990,419.559998,414.089996,419.510010,417.793793,50942300
2022-08-26,419.390015,419.959991,405.250000,405.309998,403.651855,103087000
2022-08-29,402.200012,405.839996,401.200012,402.630005,400.982849,65370800
